country,iso,language_code,language,search_field,keyword,theme,follower_min,follower_max,proposed_country_allocation,platform_note
India,IN,hi,Hindi,Captions,मनोवैज्ञानिक आघात,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,hi,Hindi,Captions,आत्मसम्मान,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Bio,মনোবিজ্ঞানী,Professional role,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Bio,মনোরোগ বিশেষজ্ঞ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Bio,সাইকোথেরাপিস্ট,Professional role,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Bio,কগনিটিভ বিহেভিয়ারাল থেরাপি,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,মানসিক স্বাস্থ্য,Mental health,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,উদ্বেগ,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,মানসিক ক্লান্তি,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,একাকীত্ব,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,আবেগ নিয়ন্ত্রণ,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,দাম্পত্য পরামর্শ,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,সন্তান লালন-পালনের চাপ,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,আসক্তি থেকে মুক্তি,Addictions,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,মাইন্ডফুলনেস মেডিটেশন,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,শ্বাসের ব্যায়াম,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,যৌন স্বাস্থ্য,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,mansik shastho,Mental health,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,মানসিক আঘাত,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,bn,Bengali,Captions,আত্মসম্মান,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Bio,ماہر نفسیات,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Bio,ماہر امراض نفسیات,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Bio,سائیکوتھراپسٹ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Bio,کاگنیٹو بیہیویئرل تھراپی,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,ذہنی صحت,Mental health,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,بے چینی,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,ذہنی تھکن,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,تنہائی,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,جذبات پر قابو,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,ازدواجی مشاورت,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,والدین کا ذہنی دباؤ,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,نشے سے نجات,Addictions,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,مائنڈفلنیس میڈیٹیشن,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,سانس کی مشقیں,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,جنسی صحت,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,zehni sehat,Mental health,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,tanhai,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,نفسیاتی صدمہ,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,ur,Urdu,Captions,خود اعتمادی,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Bio,మనస్తత్వ శాస్త్రవేత్త,Professional role,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Bio,మానసిక వైద్యుడు,Professional role,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Bio,సైకోథెరపిస్ట్,Professional role,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Bio,కాగ్నిటివ్ బిహేవియరల్ థెరపీ,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,మానసిక ఆరోగ్యం,Mental health,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,ఆందోళన,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,మానసిక అలసట,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,ఒంటరితనం,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,భావోద్వేగ నియంత్రణ,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,వైవాహిక కౌన్సెలింగ్,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,పిల్లల పెంపకంలో ఒత్తిడి,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,వ్యసన విముక్తి,Addictions,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,మైండ్‌ఫుల్‌నెస్ ధ్యానం,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,శ్వాస వ్యాయామాలు,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,లైంగిక ఆరోగ్యం,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,మానసిక గాయం,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,te,Telugu,Captions,ఆత్మగౌరవం,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Bio,உளவியலாளர்,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Bio,மனநல மருத்துவர்,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Bio,உளவியல் ஆலோசகர்,Professional role,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Bio,அறிவாற்றல் நடத்தை சிகிச்சை,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,மனநலம்,Mental health,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,பதட்டம்,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,பணிச்சோர்வு,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,தனிமை,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,உணர்ச்சிக் கட்டுப்பாடு,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,திருமண ஆலோசனை,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,குழந்தை வளர்ப்பு மன அழுத்தம்,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,போதைப் பழக்கத்திலிருந்து மீட்பு,Addictions,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,கவனயீர்ப்பு தியானம்,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,மூச்சுப் பயிற்சி,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,பாலியல் நலம்,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,உளவியல் அதிர்ச்சி,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,ta,Tamil,Captions,சுயமரியாதை,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Bio,मानसशास्त्रज्ञ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Bio,मनोविकारतज्ज्ञ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Bio,मानसोपचारतज्ज्ञ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Bio,संज्ञानात्मक वर्तन उपचार,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,मानसिक आरोग्य,Mental health,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,चिंता,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,भावनिक थकवा,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,एकटेपणा,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,भावनांचे नियमन,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,वैवाहिक समुपदेशन,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,पालकत्वाचा ताण,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,व्यसनमुक्ती,Addictions,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,सजग ध्यान,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,श्वसनाचे व्यायाम,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,लैंगिक आरोग्य,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,मानसिक आघात,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,mr,Marathi,Captions,आत्मसन्मान,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Bio,મનોવૈજ્ઞાનિક,Professional role,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Bio,મનોચિકિત્સક,Professional role,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Bio,મનોવિજ્ઞાની,Professional role,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Bio,કોગ્નિટિવ બિહેવિયરલ થેરાપી,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,માનસિક સ્વાસ્થ્ય,Mental health,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,ચિંતા,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,માનસિક થાક,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,એકલતા,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,લાગણીઓનું નિયંત્રણ,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,લગ્નજીવનનું કાઉન્સેલિંગ,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,વાલીપણાનો તણાવ,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,વ્યસનમુક્તિ,Addictions,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,માઇન્ડફુલનેસ મેડિટેશન,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,શ્વાસની કસરતો,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,જાતીય સ્વાસ્થ્ય,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,માનસિક આઘાત,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,gu,Gujarati,Captions,આત્મસન્માન,Self-esteem,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Bio,ಮನಶ್ಶಾಸ್ತ್ರಜ್ಞ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Bio,ಮನೋವೈದ್ಯ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Bio,ಮನೋಚಿಕಿತ್ಸಕ,Professional role,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Bio,ಕಾಗ್ನಿಟಿವ್ ಬಿಹೇವಿಯರಲ್ ಥೆರಪಿ,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Bio,EMDR,Therapy approach,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಮಾನಸಿಕ ಆರೋಗ್ಯ,Mental health,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಆತಂಕ,Anxiety,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಮಾನಸಿಕ ಆಯಾಸ,Burnout / exhaustion,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಒಂಟಿತನ,Loneliness,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಭಾವನಾತ್ಮಕ ನಿಯಂತ್ರಣ,Emotional regulation,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ದಾಂಪತ್ಯ ಸಮಾಲೋಚನೆ,Couple / relationships,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಪೋಷಕತ್ವದ ಒತ್ತಡ,Parenting stress,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ವ್ಯಸನಮುಕ್ತಿ,Addictions,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಮೈಂಡ್‌ಫುಲ್‌ನೆಸ್ ಧ್ಯಾನ,Meditation / mindfulness,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಉಸಿರಾಟದ ವ್ಯಾಯಾಮ,Breathing / coping,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಲೈಂಗಿಕ ಆರೋಗ್ಯ,Sexual wellbeing / intimacy,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಮಾನಸಿಕ ಆಘಾತ,Psychological trauma,300,10000,3200,Instagram + YouTube
India,IN,kn,Kannada,Captions,ಆತ್ಮಗೌರವ,Self-esteem,300,10000,3200,Instagram + YouTube
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psicólogo,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psicóloga,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psicologo,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psicologa,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psiquiatra,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,psicoterapeuta,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,terapia cognitivo comportamental,Therapy approach,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,EMDR,Therapy approach,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,TCC,Therapy approach,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,sexólogo,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Bio,sexóloga,Professional role,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,saúde mental,Mental health,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,ansiedade,Anxiety,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,esgotamento emocional,Burnout / exhaustion,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,solidão,Loneliness,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,regulação emocional,Emotional regulation,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,terapia de casal,Couple / relationships,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,esgotamento materno,Parenting stress,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,dependência química,Addictions,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,meditação mindfulness,Meditation / mindfulness,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,exercícios de respiração,Breathing / coping,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,bem-estar sexual,Sexual wellbeing / intimacy,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,burnout,Burnout / exhaustion,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,apego ansioso,Attachment,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,regulação das emoções,Emotional regulation,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,parar de fumar,Addictions,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,trauma psicológico,Psychological trauma,300,10000,2550,
Brazil,BR,pt-BR,Portuguese (Brazil),Captions,autoestima,Self-esteem,300,10000,2550,
Indonesia,ID,id,Indonesian,Bio,psikolog,Professional role,300,10000,2300,
Indonesia,ID,id,Indonesian,Bio,psikiater,Professional role,300,10000,2300,
Indonesia,ID,id,Indonesian,Bio,psikoterapis,Professional role,300,10000,2300,
Indonesia,ID,id,Indonesian,Bio,konselor kesehatan mental,Professional role,300,10000,2300,
Indonesia,ID,id,Indonesian,Bio,terapi perilaku kognitif,Therapy approach,300,10000,2300,
Indonesia,ID,id,Indonesian,Bio,EMDR,Therapy approach,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,kesehatan mental,Mental health,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,kecemasan,Anxiety,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,kelelahan emosional,Burnout / exhaustion,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,kesepian,Loneliness,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,regulasi emosi,Emotional regulation,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,terapi pasangan,Couple / relationships,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,stres pengasuhan,Parenting stress,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,pemulihan kecanduan,Addictions,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,meditasi mindfulness,Meditation / mindfulness,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,latihan pernapasan,Breathing / coping,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,kesehatan seksual,Sexual wellbeing / intimacy,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,overthinking,Anxiety,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,trauma psikologis,Psychological trauma,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,harga diri,Self-esteem,300,10000,2300,
Indonesia,ID,id,Indonesian,Captions,keterikatan cemas,Attachment,300,10000,2300,
Mexico,MX,es,Spanish,Bio,psicólogo,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,psicóloga,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,psicologo,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,psicologa,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,psiquiatra,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,psicoterapeuta,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,terapia cognitivo conductual,Therapy approach,300,10000,1650,
Mexico,MX,es,Spanish,Bio,EMDR,Therapy approach,300,10000,1650,
Mexico,MX,es,Spanish,Bio,TCC,Therapy approach,300,10000,1650,
Mexico,MX,es,Spanish,Bio,sexólogo,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Bio,sexóloga,Professional role,300,10000,1650,
Mexico,MX,es,Spanish,Captions,salud mental,Mental health,300,10000,1650,
Mexico,MX,es,Spanish,Captions,ansiedad,Anxiety,300,10000,1650,
Mexico,MX,es,Spanish,Captions,agotamiento emocional,Burnout / exhaustion,300,10000,1650,
Mexico,MX,es,Spanish,Captions,soledad,Loneliness,300,10000,1650,
Mexico,MX,es,Spanish,Captions,regulación emocional,Emotional regulation,300,10000,1650,
Mexico,MX,es,Spanish,Captions,terapia de pareja,Couple / relationships,300,10000,1650,
Mexico,MX,es,Spanish,Captions,agotamiento parental,Parenting stress,300,10000,1650,
Mexico,MX,es,Spanish,Captions,adicciones,Addictions,300,10000,1650,
Mexico,MX,es,Spanish,Captions,meditación mindfulness,Meditation / mindfulness,300,10000,1650,
Mexico,MX,es,Spanish,Captions,ejercicios de respiración,Breathing / coping,300,10000,1650,
Mexico,MX,es,Spanish,Captions,bienestar sexual,Sexual wellbeing / intimacy,300,10000,1650,
Mexico,MX,es,Spanish,Captions,burnout,Burnout / exhaustion,300,10000,1650,
Mexico,MX,es,Spanish,Captions,apego ansioso,Attachment,300,10000,1650,
Mexico,MX,es,Spanish,Captions,crianza respetuosa,Parenting / emotions,300,10000,1650,
Mexico,MX,es,Spanish,Captions,dejar de fumar,Addictions,300,10000,1650,
Mexico,MX,es,Spanish,Captions,trauma psicológico,Psychological trauma,300,10000,1650,
Mexico,MX,es,Spanish,Captions,autoestima,Self-esteem,300,10000,1650,
Turkey,TR,tr,Turkish,Bio,psikolog,Professional role,300,10000,1250,
Turkey,TR,tr,Turkish,Bio,psikiyatrist,Professional role,300,10000,1250,
Turkey,TR,tr,Turkish,Bio,psikoterapist,Professional role,300,10000,1250,
Turkey,TR,tr,Turkish,Bio,psikolojik danışman,Professional role,300,10000,1250,
Turkey,TR,tr,Turkish,Bio,bilişsel davranışçı terapi,Therapy approach,300,10000,1250,
Turkey,TR,tr,Turkish,Bio,EMDR,Therapy approach,300,10000,1250,
Turkey,TR,tr,Turkish,Captions,ruh sağlığı,Mental health,300,10000,1250,
Turkey,TR,tr,Turkish,Captions,anksiyete,Anxiety,300,10000,1250,
Turkey,TR,tr,Turkish,Captions,tükenmişlik,Burnout / exhaustion,300,10000,1250,
Turkey,TR,tr,Turkish,Captions,yalnızlık,Loneliness,300,10000,1250,
Turkey,TR,tr,Turkish,Captions,duygu düzenleme,Emotional regulation,300,10000,1250,
